Order ID,Order Date,Ship Date,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Month,Year,MonthName
ORD-100000,2016-01-31 05:14:27,2016-02-13 05:14:27,Customer 1313,Consumer,United States,New York,GA,Central,PROD-6109,Office Supplies,Binders,Binders Model 57,940.93,5,0.15,274.03,0.2912331416789772,1,2016,Jan
ORD-100001,2015-10-19 21:17:16,2015-10-26 21:17:16,Customer 1263,Corporate,United States,Houston,NY,Central,PROD-7124,Technology,Computers,Computers Model 38,252.56,3,0.05,70.49,0.27910199556541015,10,2015,Oct
ORD-100002,2017-09-13 08:42:54,2017-09-26 08:42:54,Customer 133,Consumer,United States,Los Angeles,WA,West,PROD-2912,Office Supplies,Appliances,Appliances Model 126,140.85,6,0.0,-2.88,-0.020447284345047924,9,2017,Sep
ORD-100003,2015-10-21 08:38:02,2015-11-03 08:38:02,Customer 999,Consumer,United States,Dallas,NY,West,PROD-4482,Office Supplies,Storage,Storage Model 87,153.32,4,0.0,-10.91,-0.07115836159666059,10,2015,Oct
ORD-100004,2014-09-02 00:03:08,2014-09-04 00:03:08,Customer 786,Corporate,United States,Boston,WA,East,PROD-2531,Office Supplies,Binders,Binders Model 471,890.01,2,0.0,-43.85,-0.04926910933585016,9,2014,Sep
ORD-100005,2014-06-04 02:38:12,2014-06-13 02:38:12,Customer 1190,Home Office,United States,Los Angeles,NY,South,PROD-5564,Technology,Accessories,Accessories Model 289,329.55,4,0.1,-18.83,-0.057138522227279616,6,2014,Jun
ORD-100006,2015-02-19 05:22:01,2015-02-27 05:22:01,Customer 1398,Consumer,United States,Dallas,IL,East,PROD-8155,Office Supplies,Labels,Labels Model 337,54.29,6,0.0,-8.4,-0.15472462700313133,2,2015,Feb
ORD-100007,2014-11-06 10:37:10,2014-11-14 10:37:10,Customer 373,Consumer,United States,Seattle,MA,West,PROD-1317,Office Supplies,Appliances,Appliances Model 65,343.38,6,0.0,-43.49,-0.1266526879841575,11,2014,Nov
ORD-100008,2017-08-26 21:44:42,2017-09-02 21:44:42,Customer 479,Consumer,United States,New York,IL,West,PROD-9642,Office Supplies,Labels,Labels Model 346,253.94,9,0.15,-28.33,-0.11156178624872017,8,2017,Aug
ORD-100009,2016-12-17 03:26:02,2016-12-21 03:26:02,Customer 832,Consumer,United States,San Francisco,NY,Central,PROD-3680,Office Supplies,Appliances,Appliances Model 142,433.62,8,0.0,-84.78,-0.19551681195516812,12,2016,Dec
ORD-100010,2017-01-19 19:26:15,2017-01-21 19:26:15,Customer 650,Corporate,United States,New York,WA,Central,PROD-5664,Technology,Machines,Machines Model 304,241.95,5,0.0,-42.1,-0.17400289315974377,1,2017,Jan
ORD-100011,2016-11-20 06:51:32,2016-11-23 06:51:32,Customer 682,Corporate,United States,Houston,TX,West,PROD-6675,Furniture,Bookcases,Bookcases Model 132,319.66,3,0.0,58.88,0.1841957079396859,11,2016,Nov
ORD-100012,2015-01-02 02:48:03,2015-01-14 02:48:03,Customer 688,Home Office,United States,Boston,MA,West,PROD-8376,Technology,Phones,Phones Model 459,168.8,4,0.0,23.74,0.14063981042654028,1,2015,Jan
ORD-100013,2016-06-07 03:56:23,2016-06-13 03:56:23,Customer 1324,Consumer,United States,New York,WA,East,PROD-1694,Technology,Copiers,Copiers Model 158,198.75,5,0.0,63.6,0.32,6,2016,Jun
ORD-100014,2016-10-19 16:02:31,2016-10-31 16:02:31,Customer 82,Consumer,United States,Atlanta,NY,East,PROD-9531,Office Supplies,Paper,Paper Model 354,111.42,1,0.05,-0.16,-0.0014360078980434393,10,2016,Oct
ORD-100015,2017-07-10 22:09:06,2017-07-22 22:09:06,Customer 87,Consumer,United States,San Francisco,WA,Central,PROD-9283,Office Supplies,Binders,Binders Model 329,142.15,9,0.0,6.31,0.044389729159338726,7,2017,Jul
ORD-100016,2016-10-20 06:15:49,2016-10-25 06:15:49,Customer 225,Consumer,United States,Houston,CA,Central,PROD-3749,Furniture,Furnishings,Furnishings Model 31,125.82,4,0.0,-20.48,-0.1627722142743602,10,2016,Oct
ORD-100017,2017-06-04 18:55:48,2017-06-16 18:55:48,Customer 16,Corporate,United States,Atlanta,WA,East,PROD-6214,Technology,Computers,Computers Model 477,555.4,8,0.0,-64.57,-0.1162585523946705,6,2017,Jun
ORD-100018,2014-02-27 15:45:05,2014-03-07 15:45:05,Customer 822,Consumer,United States,Houston,IL,West,PROD-3198,Office Supplies,Labels,Labels Model 142,439.16,5,0.0,79.22,0.18038983513981235,2,2014,Feb
ORD-100019,2014-06-11 11:56:07,2014-06-17 11:56:07,Customer 1382,Corporate,United States,Atlanta,GA,Central,PROD-7027,Office Supplies,Paper,Paper Model 442,219.92,5,0.0,-15.55,-0.07070753001091307,6,2014,Jun
ORD-100020,2016-09-18 08:29:31,2016-09-24 08:29:31,Customer 163,Corporate,United States,Boston,IL,South,PROD-6855,Office Supplies,Appliances,Appliances Model 184,307.58,2,0.0,69.3,0.22530723714155668,9,2016,Sep
ORD-100021,2014-02-22 07:56:13,2014-02-23 07:56:13,Customer 514,Home Office,United States,Dallas,CA,South,PROD-3857,Office Supplies,Binders,Binders Model 18,469.26,8,0.0,88.28,0.18812598559434002,2,2014,Feb
